abehinds,agoals,ascore,ateam,ateamid,complete,date,hbehinds,hgoals,hscore,hteam,hteamid,id,is_final,is_grand_final,localtime,round,roundname,timestr,tz,unixtime,updated,venue,winner,winnerteamid,year
16,14,100,Sydney,16,100,"2012-03-24 19:20:00",7,5,37,"Greater Western Sydney",9,1456,0,0,"2012-03-24 19:20:00",1,"Round 1","Full Time",+11:00,1332577200,"2018-06-26 12:17:05","Stadium Australia",Sydney,16,2012
17,18,125,Carlton,3,100,"2012-03-29 19:45:00",9,12,81,Richmond,14,1458,0,0,"2012-03-29 19:45:00",1,"Round 1","Full Time",+11:00,1333010700,"2018-06-26 12:17:05",M.C.G.,Carlton,3,2012
19,16,115,Collingwood,4,100,"2012-03-30 19:50:00",17,20,137,Hawthorn,10,1459,0,0,"2012-03-30 19:50:00",1,"Round 1","Full Time",+11:00,1333097400,"2018-06-26 12:17:05",M.C.G.,Hawthorn,10,2012
17,17,119,"Brisbane Lions",2,100,"2012-03-31 13:45:00",12,11,78,Melbourne,11,1460,0,0,"2012-03-31 13:45:00",1,"Round 1","Full Time",+11:00,1333161900,"2018-06-26 12:17:05",M.C.G.,"Brisbane Lions",2,2012
23,19,137,Adelaide,1,100,"2012-03-31 16:45:00",8,10,68,"Gold Coast",8,1461,0,0,"2012-03-31 15:45:00",1,"Round 1","Full Time",+11:00,1333172700,"2018-06-26 12:17:05",Carrara,Adelaide,1,2012
11,15,101,Geelong,7,100,"2012-03-31 19:45:00",9,16,105,Fremantle,6,1463,0,0,"2012-03-31 16:45:00",1,"Round 1","Full Time",+11:00,1333183500,"2018-06-26 12:17:05",Subiaco,Fremantle,6,2012
20,14,104,Essendon,5,100,"2012-03-31 19:45:00",12,15,102,"North Melbourne",12,1462,0,0,"2012-03-31 19:45:00",1,"Round 1","Full Time",+11:00,1333183500,"2018-06-26 12:17:05",Docklands,Essendon,5,2012
10,21,136,"West Coast",17,100,"2012-04-01 13:10:00",15,12,87,"Western Bulldogs",18,1464,0,0,"2012-04-01 13:10:00",1,"Round 1","Full Time",+10:00,1333249800,"2018-06-26 12:17:05",Docklands,"West Coast",17,2012
7,13,85,"St Kilda",15,100,"2012-04-01 16:40:00",11,13,89,"Port Adelaide",13,1465,0,0,"2012-04-01 16:10:00",1,"Round 1","Full Time",+10:00,1333262400,"2018-06-26 12:17:05","Football Park","Port Adelaide",13,2012
16,23,154,Carlton,3,100,"2012-04-05 19:40:00",9,9,63,"Brisbane Lions",2,1466,0,0,"2012-04-05 19:40:00",2,"Round 2","Full Time",+10:00,1333618800,"2018-06-26 12:17:05",Gabba,Carlton,3,2012
8,13,86,"Port Adelaide",13,100,"2012-04-07 13:45:00",15,16,111,Essendon,5,1467,0,0,"2012-04-07 13:45:00",2,"Round 2","Full Time",+10:00,1333770300,"2018-06-26 12:17:05",Docklands,Essendon,5,2012
9,12,81,Fremantle,6,100,"2012-04-07 14:10:00",10,14,94,Sydney,16,1468,0,0,"2012-04-07 14:10:00",2,"Round 2","Full Time",+10:00,1333771800,"2018-06-26 12:17:05",S.C.G.,Sydney,16,2012
4,9,58,Melbourne,11,100,"2012-04-07 16:40:00",16,25,166,"West Coast",17,1469,0,0,"2012-04-07 14:40:00",2,"Round 2","Full Time",+10:00,1333780800,"2018-06-26 12:17:05",Subiaco,"West Coast",17,2012
10,9,64,"Western Bulldogs",18,100,"2012-04-07 19:40:00",16,11,82,Adelaide,1,1471,0,0,"2012-04-07 19:10:00",2,"Round 2","Full Time",+10:00,1333791600,"2018-06-26 12:17:05","Football Park",Adelaide,1,2012
16,8,64,Richmond,14,100,"2012-04-07 19:40:00",13,12,85,Collingwood,4,1470,0,0,"2012-04-07 19:40:00",2,"Round 2","Full Time",+10:00,1333791600,"2018-06-26 12:17:05",M.C.G.,Collingwood,4,2012
6,8,54,"Greater Western Sydney",9,100,"2012-04-08 13:10:00",15,28,183,"North Melbourne",12,1472,0,0,"2012-04-08 13:10:00",2,"Round 2","Full Time",+10:00,1333854600,"2018-06-26 12:17:05","Bellerive Oval","North Melbourne",12,2012
5,7,47,"Gold Coast",8,100,"2012-04-08 16:40:00",13,21,139,"St Kilda",15,1473,0,0,"2012-04-08 16:40:00",2,"Round 2","Full Time",+10:00,1333867200,"2018-06-26 12:17:05",Docklands,"St Kilda",15,2012
12,13,90,Hawthorn,10,100,"2012-04-09 15:10:00",8,14,92,Geelong,7,1474,0,0,"2012-04-09 15:10:00",2,"Round 2","Full Time",+10:00,1333948200,"2018-06-26 12:17:05",M.C.G.,Geelong,7,2012
8,9,62,Collingwood,4,100,"2012-04-13 19:50:00",14,18,122,Carlton,3,1493,0,0,"2012-04-13 19:50:00",3,"Round 3","Full Time",+10:00,1334310600,"2018-06-26 12:17:06",M.C.G.,Carlton,3,2012
8,11,74,Melbourne,11,100,"2012-04-14 13:45:00",13,20,133,Richmond,14,1494,0,0,"2012-04-14 13:45:00",3,"Round 3","Full Time",+10:00,1334375100,"2018-06-26 12:17:06",M.C.G.,Richmond,14,2012
9,16,105,Sydney,16,100,"2012-04-14 14:10:00",11,12,83,"Port Adelaide",13,1511,0,0,"2012-04-14 13:40:00",3,"Round 3","Full Time",+10:00,1334376600,"2018-06-26 12:17:06","Football Park",Sydney,16,2012
5,5,35,"Brisbane Lions",2,100,"2012-04-14 16:40:00",16,8,64,Fremantle,6,1512,0,0,"2012-04-14 14:40:00",3,"Round 3","Full Time",+10:00,1334385600,"2018-06-26 12:17:06",Subiaco,Fremantle,6,2012
15,15,105,Essendon,5,100,"2012-04-14 19:40:00",10,13,88,"Gold Coast",8,1513,0,0,"2012-04-14 19:40:00",3,"Round 3","Full Time",+10:00,1334396400,"2018-06-26 12:17:06",Carrara,Essendon,5,2012
13,15,103,"St Kilda",15,100,"2012-04-14 19:40:00",10,5,40,"Western Bulldogs",18,1514,0,0,"2012-04-14 19:40:00",3,"Round 3","Full Time",+10:00,1334396400,"2018-06-26 12:17:06",Docklands,"St Kilda",15,2012
12,23,150,"West Coast",17,100,"2012-04-15 13:10:00",9,10,69,"Greater Western Sydney",9,1521,0,0,"2012-04-15 13:10:00",3,"Round 3","Full Time",+10:00,1334459400,"2018-06-26 12:17:06",Blacktown,"West Coast",17,2012
12,12,84,Adelaide,1,100,"2012-04-15 15:15:00",14,21,140,Hawthorn,10,1522,0,0,"2012-04-15 15:15:00",3,"Round 3","Full Time",+10:00,1334466900,"2018-06-26 12:17:06",M.C.G.,Hawthorn,10,2012
18,16,114,Geelong,7,100,"2012-04-15 16:40:00",11,20,131,"North Melbourne",12,1523,0,0,"2012-04-15 16:40:00",3,"Round 3","Full Time",+10:00,1334472000,"2018-06-26 12:17:06",Docklands,"North Melbourne",12,2012
8,14,92,Fremantle,6,100,"2012-04-20 19:50:00",13,11,79,"St Kilda",15,1524,0,0,"2012-04-20 19:50:00",4,"Round 4","Full Time",+10:00,1334915400,"2018-06-26 12:17:06",Docklands,Fremantle,6,2012
19,15,109,Essendon,5,100,"2012-04-21 13:45:00",13,11,79,Carlton,3,1525,0,0,"2012-04-21 13:45:00",4,"Round 4","Full Time",+10:00,1334979900,"2018-06-26 12:17:06",M.C.G.,Essendon,5,2012
13,10,73,"Port Adelaide",13,100,"2012-04-21 14:10:00",13,14,97,Collingwood,4,1526,0,0,"2012-04-21 14:10:00",4,"Round 4","Full Time",+10:00,1334981400,"2018-06-26 12:17:06",Docklands,Collingwood,4,2012
8,7,50,"Greater Western Sydney",9,100,"2012-04-21 16:40:00",18,13,96,Adelaide,1,1527,0,0,"2012-04-21 16:10:00",4,"Round 4","Full Time",+10:00,1334990400,"2018-06-26 12:17:06","Football Park",Adelaide,1,2012
10,6,46,"Gold Coast",8,100,"2012-04-21 19:40:00",9,17,111,"Brisbane Lions",2,1529,0,0,"2012-04-21 19:40:00",4,"Round 4","Full Time",+10:00,1335001200,"2018-06-26 12:17:06",Gabba,"Brisbane Lions",2,2012
16,5,46,Hawthorn,10,100,"2012-04-21 19:40:00",21,5,51,"West Coast",17,1528,0,0,"2012-04-21 17:40:00",4,"Round 4","Full Time",+10:00,1335001200,"2018-06-26 12:17:06",Subiaco,"West Coast",17,2012
11,9,65,Richmond,14,100,"2012-04-22 13:10:00",9,11,75,Geelong,7,1530,0,0,"2012-04-22 13:10:00",4,"Round 4","Full Time",+10:00,1335064200,"2018-06-26 12:17:06","GMHBA Stadium",Geelong,7,2012
17,10,77,"North Melbourne",12,100,"2012-04-22 15:15:00",11,17,113,Sydney,16,1531,0,0,"2012-04-22 15:15:00",4,"Round 4","Full Time",+10:00,1335071700,"2018-06-26 12:17:06",S.C.G.,Sydney,16,2012
10,13,88,"Western Bulldogs",18,100,"2012-04-22 16:40:00",13,9,67,Melbourne,11,1532,0,0,"2012-04-22 16:40:00",4,"Round 4","Full Time",+10:00,1335076800,"2018-06-26 12:17:06",M.C.G.,"Western Bulldogs",18,2012
13,11,79,Essendon,5,100,"2012-04-25 14:40:00",14,11,80,Collingwood,4,1533,0,0,"2012-04-25 14:40:00",5,"Round 5","Full Time",+10:00,1335328800,"2018-06-26 12:17:06",M.C.G.,Collingwood,4,2012
5,10,65,Carlton,3,100,"2012-04-27 20:45:00",15,7,57,Fremantle,6,1534,0,0,"2012-04-27 18:45:00",5,"Round 5","Full Time",+10:00,1335523500,"2018-06-26 12:17:06",Subiaco,Carlton,3,2012
14,15,104,"Western Bulldogs",18,100,"2012-04-28 13:45:00",8,9,62,"Greater Western Sydney",9,1546,0,0,"2012-04-28 13:45:00",5,"Round 5","Full Time",+10:00,1335584700,"2018-06-26 12:17:06","UNSW Canberra Oval","Western Bulldogs",18,2012
15,13,93,"Gold Coast",8,100,"2012-04-28 16:40:00",25,17,127,"North Melbourne",12,1547,0,0,"2012-04-28 16:40:00",5,"Round 5","Full Time",+10:00,1335595200,"2018-06-26 12:17:06",Docklands,"North Melbourne",12,2012
12,12,84,"St Kilda",15,100,"2012-04-28 19:40:00",6,10,66,Melbourne,11,1548,0,0,"2012-04-28 19:40:00",5,"Round 5","Full Time",+10:00,1335606000,"2018-06-26 12:17:06",M.C.G.,"St Kilda",15,2012
7,12,79,Geelong,7,100,"2012-04-28 19:45:00",17,4,41,"Brisbane Lions",2,1549,0,0,"2012-04-28 19:45:00",5,"Round 5","Full Time",+10:00,1335606300,"2018-06-26 12:17:06",Gabba,Geelong,7,2012
10,16,106,Sydney,16,100,"2012-04-29 13:10:00",9,10,69,Hawthorn,10,1550,0,0,"2012-04-29 13:10:00",5,"Round 5","Full Time",+10:00,1335669000,"2018-06-26 12:17:06","University of Tasmania Stadium",Sydney,16,2012
11,16,107,"West Coast",17,100,"2012-04-29 15:15:00",13,14,97,Richmond,14,1551,0,0,"2012-04-29 15:15:00",5,"Round 5","Full Time",+10:00,1335676500,"2018-06-26 12:17:06",Docklands,"West Coast",17,2012
7,14,91,"Port Adelaide",13,100,"2012-04-29 16:40:00",14,16,110,Adelaide,1,1552,0,0,"2012-04-29 16:10:00",5,"Round 5","Full Time",+10:00,1335681600,"2018-06-26 12:17:06","Football Park",Adelaide,1,2012
8,15,98,Collingwood,4,100,"2012-05-04 19:50:00",11,11,77,"Western Bulldogs",18,1553,0,0,"2012-05-04 19:50:00",6,"Round 6","Full Time",+10:00,1336125000,"2018-06-26 12:17:06",Docklands,Collingwood,4,2012
