against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
1208,176,194,0,1586,172,232,13,4,"Port Adelaide",131.291390728477,16,48,1,12
1323,171,170,0,1580,192,235,16,5,Sydney,119.425547996977,16,44,2,11
1471,181,204,1,1806,215,267,17,5,"West Coast",122.773623385452,16,42,3,10
1371,189,205,1,1585,197,230,2,5,"Brisbane Lions",115.609044493071,16,42,4,10
1232,152,202,0,1570,180,228,1,6,Adelaide,127.435064935065,16,40,5,10
1403,191,199,0,1675,202,246,4,6,Collingwood,119.387027797577,16,40,6,10
1496,182,197,0,1541,219,224,6,6,Fremantle,103.008021390374,16,40,7,10
1664,188,187,1,1543,246,226,12,7,"North Melbourne",92.7283653846154,16,34,8,8
1544,182,181,0,1573,227,232,5,8,Essendon,101.878238341969,16,32,9,8
1490,176,157,0,1453,219,216,10,8,Hawthorn,97.5167785234899,16,32,10,8
1738,196,183,0,1425,257,207,15,9,"St Kilda",81.9907940161105,16,28,11,7
1455,189,165,0,1329,211,194,14,10,Richmond,91.340206185567,16,24,12,6
1528,160,173,0,1343,228,195,7,11,Geelong,87.8926701570681,16,20,13,5
1722,168,170,0,1454,259,214,11,11,Melbourne,84.4367015098722,16,20,14,5
1833,219,171,0,1383,269,202,3,12,Carlton,75.4500818330606,16,16,15,4
1913,221,183,1,1545,282,227,18,13,"Western Bulldogs",80.7631991636174,16,10,16,2
