abbrev,debut,id,logo,name,retirement
ADE,1991,1,/wp-content/themes/squiggle/assets/images/Adelaide.png,Adelaide,9999
BRI,1987,2,/wp-content/themes/squiggle/assets/images/Brisbane.png,"Brisbane Lions",9999
CAR,1897,3,/wp-content/themes/squiggle/assets/images/Carlton.png,Carlton,9999
COL,1897,4,/wp-content/themes/squiggle/assets/images/Collingwood.png,Collingwood,9999
ESS,1897,5,/wp-content/themes/squiggle/assets/images/Essendon.png,Essendon,9999
FRE,1995,6,/wp-content/themes/squiggle/assets/images/Fremantle.png,Fremantle,9999
GEE,1897,7,/wp-content/themes/squiggle/assets/images/Geelong.png,Geelong,9999
GCS,2011,8,/wp-content/themes/squiggle/assets/images/GoldCoast.png,"Gold Coast",9999
GWS,2012,9,/wp-content/themes/squiggle/assets/images/Giants.png,"Greater Western Sydney",9999
HAW,1925,10,/wp-content/themes/squiggle/assets/images/Hawthorn.png,Hawthorn,9999
MEL,1897,11,/wp-content/themes/squiggle/assets/images/Melbourne.png,Melbourne,9999
NOR,1925,12,/wp-content/themes/squiggle/assets/images/NorthMelbourne.png,"North Melbourne",9999
POR,1997,13,/wp-content/themes/squiggle/assets/images/PortAdelaide.png,"Port Adelaide",9999
RIC,1908,14,/wp-content/themes/squiggle/assets/images/Richmond.png,Richmond,9999
STK,1897,15,/wp-content/themes/squiggle/assets/images/StKilda.png,"St Kilda",9999
SYD,1897,16,/wp-content/themes/squiggle/assets/images/Sydney.png,Sydney,9999
WCE,1987,17,/wp-content/themes/squiggle/assets/images/WestCoast.png,"West Coast",9999
WBD,1925,18,/wp-content/themes/squiggle/assets/images/Bulldogs.png,"Western Bulldogs",9999
